major_pin,contract_number,region,project_title,project_status,status,bid_opening_date,federal_funding,state_funding,local_funding,type_of_work,public_friendly_description,contract_award_date,contract_award_amount,approved_cost_changes,current_award_amount,estimated_or_actual_completed_date,schedule_performance,cost_performance,in_future_development_start_date,construction_start_date,construction_end_date,construction_amount
0SLR28,,10 LONG ISLAND,TRAFFIC SIGNAL & LIGHTING REQUIREMENTS,"Replace or upgrade signals and/or appurtenances & install new signals, repair or replace lighting systems and appurtenances on various federal aid eligible state highways in Nassau & Suffolk counties",Future Development,Spring 2028,Yes,Yes,No,Traffic Signals: Devices/Coordination,"This project proposes to rebuild, upgrade and install traffic signals and repair or replace lighting systems and appurtenances along state highways in Nassau and Suffolk County. Locations are selected based on the need to address safety concerns and to im",,,,,,,,Spring 2026,Summer 2028,Spring 2029,4000000
0SLR29,,10 LONG ISLAND,TRAFFIC SIGNAL & LIGHTING REQUIREMENTS,"Replace or upgrade signals and/or appurtenances & install new signals, repair or replace lighting systems and appurtenances on various federal aid eligible state highways in Nassau & Suffolk counties",Future Development,Spring 2029,Yes,Yes,No,Traffic Signals: Devices/Coordination,"This project proposes to rebuild, upgrade and install traffic signals and repair or replace lighting systems and appurtenances along state highways in Nassau and Suffolk County. Locations are selected based on the need to address safety concerns and to im",,,,,,,,Summer 2027,Summer 2029,Spring 2030,4000000
0SLR30,,10 LONG ISLAND,TRAFFIC SIGNAL & LIGHTING REQUIREMENTS,"Replace or upgrade signals and/or appurtenances & install new signals, repair or replace lighting systems and appurtenances on various federal aid eligible state highways in Nassau & Suffolk counties",Future Development,Spring 2030,Yes,Yes,No,Traffic Signals: Devices/Coordination,"This project proposes to rebuild, upgrade and install traffic signals and repair or replace lighting systems and appurtenances along state highways in Nassau and Suffolk County. Locations are selected based on the need to address safety concerns and to im",,,,,,,,Summer 2028,Summer 2030,Spring 2031,4000000
0SLR31,,10 LONG ISLAND,TRAFFIC SIGNAL & LIGHTING REQUIREMENTS,"Replace or upgrade signals and/or appurtenances & install new signals, repair or replace lighting systems and appurtenances on various federal aid eligible state highways in Nassau & Suffolk counties",Future Development,Spring 2031,Yes,Yes,No,Traffic Signals: Devices/Coordination,"This project proposes to rebuild, upgrade and install traffic signals and repair or replace lighting systems and appurtenances along state highways in Nassau and Suffolk County. Locations are selected based on the need to address safety concerns and to im",,,,,,,,Summer 2029,Summer 2031,Spring 2032,4000000
0SSR25,,10 LONG ISLAND,OVERHEAD SIGN STRUCTURE REPLACEMENT,"Replacement of overhead sign structures on Federal Aid Eligible highways that are at the end of the useful life, Nassau and Suffolk Counties",Future Development,Fall 2025,Yes,Yes,No,Overhead Sign Structure: New/Replace,This project proposes to replace overhead sign structures on Federal Aid Eligible highways in Nassau and Suffolk Counties to maintain their structural integrity.,,,,,,,,Fall 2023,Winter 2025/2026,Summer 2027,5000000
0SSR27,,10 LONG ISLAND,OVERHEAD SIGN STRUCTURE REPLACEMENT,"Replacement of overhead sign structures that are at the end of the useful life, Nassau and Suffolk Counties",Future Development,Fall 2027,Yes,Yes,No,Overhead Sign Structure: New/Replace,This project proposes to replace overhead sign structures in Nassau and Suffolk Counties to maintain their structural integrity.,,,,,,,,Winter 2025/2026,Winter 2027/2028,Summer 2029,5000000
0SSR29,,10 LONG ISLAND,OVERHEAD SIGN STRUCTURE REPLACEMENT,"Replacement of overhead sign structures that are at the end of the useful life, Nassau and Suffolk Counties",Future Development,Fall 2029,Yes,Yes,No,Overhead Sign Structure: New/Replace,This project proposes to replace overhead sign structures in Nassau and Suffolk Counties to maintain their structural integrity.,,,,,,,,Winter 2027/2028,Winter 2029/2030,Fall 2030,5000000
0SSR31,,10 LONG ISLAND,OVERHEAD SIGN STRUCTURE REPLACEMENT,"Replacement of overhead sign structures that are at the end of the useful life, Nassau and Suffolk Counties",Future Development,Fall 2031,Yes,Yes,No,Overhead Sign Structure: New/Replace,This project proposes to replace overhead sign structures in Nassau and Suffolk Counties to maintain their structural integrity.,,,,,,,,Summer 2030,Winter 2031/2032,Winter 2033/2034,5000000
0T1394,,10 LONG ISLAND,PRIORITY SURFACE TREATMENTS,"CONCRETE & ASPHALT PAVEMENT REPAIRS, SINGLE COURSE OVERLAY (LOCATIONS TO-BE-DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.",Future Development,Spring 2027,Yes,Yes,No,Pavement: Single Course Overlay,"This project proposes to resurface pavement on state roadways in Nassau and Suffolk Counties, locations to be determined. The top layer of worn, deteriorated pavement will be removed and replaced with new asphalt and fresh pavement markings. Drainage clea",,,,,,,,Winter 2025/2026,Summer 2027,Spring 2028,8000000
0T1474,,10 LONG ISLAND,PM BRIDGE REPAIR CONTRACT,PREVENTATIVE MAINTENANCE BRIDGE REPAIRS (LOCATIONS TO-BE-DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Future Development,Spring 2026,Yes,Yes,No,"Bridge: Maintenance: Corrective (JOC, etc.)",This proposed project includes maintenance repairs to bridges to help maintain their reliability and integrity to assure the continued safety of the traveling public.,,,,,,,,Spring 2024,Summer 2026,Spring 2027,8000000
0T1475,,10 LONG ISLAND,PM BRIDGE REPAIR CONTRACT,PREVENTATIVE MAINTENANCE BRIDGE REPAIRS (LOCATIONS TO-BE-DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Future Development,Spring 2027,Yes,Yes,No,"Bridge: Maintenance: Corrective (JOC, etc.)",This proposed project includes maintenance repairs to bridges to help maintain their reliability and integrity to assure the continued safety of the traveling public.,,,,,,,,Spring 2025,Summer 2027,Spring 2028,8000000
0T1476,,10 LONG ISLAND,RMC OVER GREAT SOUTH BAY BRIDGE PAINTING,Painting of the Robert Moses Causeway over Great South Bay bridges. Town of Islip Suffolk County,Future Development,Summer 2026,Yes,Yes,No,Bridge: Painting,This project proposes to paint the Robert Moses Causeway over Great South Bay northbound and southbound bridges to help maintain their reliability and integrity and assure the continued safety of the traveling public. Town of Islip Suffolk County,,,,,,,,Summer 2024,Fall 2026,Summer 2027,38800000
0T1477,,10 LONG ISLAND,PM BRIDGE REPAIR CONTRACT,PREVENTATIVE MAINTENANCE BRIDGE REPAIRS (LOCATIONS TO-BE-DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Future Development,Spring 2028,Yes,Yes,No,"Bridge: Maintenance: Corrective (JOC, etc.)",,,,,,,,,Spring 2026,Summer 2028,Spring 2029,8000000
0T1577,,10 LONG ISLAND,BRIDGE REHAB CONTRACT,Bridge Rehabilitation in Nassau and Suffolk.,Future Development,Fall 2026,Yes,Yes,No,Bridge: General Rehab (Preservation),This project proposes to repair bridges in order to help maintain bridge reliability and integrity to assure the continues safety of the traveling public.  This type of corrective maintenance helps extend the life of the bridges in Nassau and Suffolk Coun,,,,,,,,Fall 2024,Winter 2026/2027,Fall 2027,8000000
0T1578,,10 LONG ISLAND,BRIDGE REHAB CONTRACT,Bridge Rehabilitation in Nassau and Suffolk.,Future Development,Fall 2027,Yes,Yes,No,Bridge: General Rehab (Preservation),This project proposes to repair bridges in order to help maintain bridge reliability and integrity to assure the continues safety of the traveling public.  This type of corrective maintenance helps extend the life of the bridges in Nassau and Suffolk Coun,,,,,,,,Fall 2025,Winter 2027/2028,Fall 2028,8000000
0T1591,,10 LONG ISLAND,NY27 MED BAR 5TH AV TO BRENTWOOD,"Install median barrier on NY27 in the Town of Islip between 5th Ave and Brentwood Rd, Town of Islip, Suffolk County",Future Development,Spring 2027,Yes,Yes,No,Guiderail/Median Barrier: New,"This project proposes to install Median Barrier on NY27 in the Town of Islip between 5th Ave and Brentwood Rd, Town of Islip, Suffolk County",,,,,,,,Spring 2025,Spring 2027,Spring 2028,8600000
0T1597,,10 LONG ISLAND,SAFETY ENHANCEMENTS,Safety enhancements on various state highways in Nassau and Suffolk Counties (locations and scope to be determined),Future Development,Summer 2026,Yes,Yes,No,Pavement: Three Course Overlay,"This project proposes includes, but is not limited to, minor pavement repairs and widening, new pavement striping, curb, sidewalk and handicap ramp installation, drainage improvements and repair of roadside elements including guiderail and signs. Nassau a",,,,,,,,Summer 2024,Summer 2026,Summer 2027,6000000
0T1601,,10 LONG ISLAND,BRIDGE CLEANING,BRIDGE CLEANING (LOCATIONS TO-BE-DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Future Development,Fall 2023,Yes,Yes,No,"Bridge: Maintenance: Cyclical (Washing, Sealing, Cleaning, etc.)",This proposed project involves the bridge washing for the bridges in Nassau and Suffolk counties. They are washed every other year in order for the bridges to last for their intended life cycle. This project will wash approximately 253 bridges.,,,,,,,,Spring 2022,Fall 2023,Summer 2025,5000000
0T1845,,10 LONG ISLAND,BRIDGE REHAB CONTRACT,Bridge Rehabilitation in Nassau and Suffolk.,Future Development,Fall 2028,Yes,Yes,No,Bridge: General Rehab (Preservation),This project proposes to repair bridges in order to help maintain bridge reliability and integrity to assure the continues safety of the traveling public.  This type of corrective maintenance helps extend the life of the bridges in Nassau and Suffolk Coun,,,,,,,,Fall 2026,Winter 2028/2029,Fall 2029,8000000
0T1865,,10 LONG ISLAND,OVERHEAD SIGN STRUCTURE REPLACEMENT,Overhead sign structure replacement on Federal Aid Eligible highways on the NSP and SSP. Towns of Hempstead and Oyster Bay. Nassau County,Future Development,Summer 2023,Yes,Yes,No,Overhead Sign Structure: New/Replace,This project proposes to replace overhead sign structures on Federal Aid Eligible highways on the Northern State Parkway (908G) and Southern State Parkway (908M) in the towns of Hempstead and Oyster Bay in Nassau County to maintain their structural integr,,,,,,,,Summer 2021,Fall 2023,Fall 2024,5100000
0T1881,,10 LONG ISLAND,BRIDGE WHERE & WHEN,Provide bridge repairs on an as-needed or emergency basis on various state highways & parkways in Nassau & Suffolk counties.  Project also includes bridge repairs at the following locations:  1.Hawkins Avenue over Long Island Expressway (Interstate 4,Future Development,Fall 2022,No,Yes,No,Emergency Response Bridge Repair,"This project proposes to provide maintenance repairs to bridges at locations to be determined to keep their reliability and integrity and help assure the continued safety of the traveling public, in Nassau and Suffolk counties. This project will also incl",,,,,,,,Spring 2021,Fall 2022,Summer 2024,3500000
0T1889,,10 LONG ISLAND,PM BRIDGE REPAIR CONTRACT,PREVENTATIVE MAINTENANCE BRIDGE REPAIRS (LOCATIONS TO-BE-DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Future Development,Spring 2029,Yes,Yes,No,"Bridge: Maintenance: Corrective (JOC, etc.)",This proposed project includes maintenance repairs to bridges to help maintain their reliability and integrity to assure the continued safety of the traveling public.,,,,,,,,Spring 2027,Summer 2029,Spring 2030,8000000
0T1959,,10 LONG ISLAND,PRIORITY SURFACE TREATMENTS,"CONCRETE & ASPHALT PAVEMENT REPAIRS, SINGLE COURSE OVERLAY (LOCATIONS TO-BE-DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.",Future Development,Spring 2028,Yes,Yes,No,Pavement: Single Course Overlay,"This project proposes to resurface pavement on state roadways in Nassau and Suffolk Counties, locations to be determined. The top layer of worn, deteriorated pavement will be removed and replaced with new asphalt and fresh pavement markings. Drainage clea",,,,,,,,Winter 2026/2027,Summer 2028,Spring 2029,8000000
0T2039,,10 LONG ISLAND,GUIDERAIL REHABILITATION,REPAIR AND REPLACE GUIDERAIL SECTIONS (LOCATIONS TO-BE-DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Future Development,Summer 2026,Yes,Yes,No,Guiderail/Median Barrier: Rehab/Improve,"This project proposes to replace existing guiderail with new guiderail that meets current engineering standards. In addition, new sections of guiderail will be added, if warranted, to ensure the safety of the traveling public. Locations to be determined.",,,,,,,,Summer 2024,Summer 2026,Summer 2027,4000000
0T2043,,10 LONG ISLAND,GUIDERAIL REHABILITATION,REPAIR AND REPLACE GUIDERAIL SECTIONS (LOCATIONS TO-BE-DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Future Development,Summer 2024,No,Yes,No,Guiderail/Median Barrier: Rehab/Improve,"This project proposes to replace existing guiderail with new guiderail that meets current engineering standards. In addition, new sections of guiderail will be added, if warranted, to ensure the safety of the traveling public. Locations to be determined.",,,,,,,,Summer 2022,Summer 2024,Winter 2024/2025,3800000
0T2044,,10 LONG ISLAND,PM DRA CLEAN/REPAIR/REPLACE,"Clean basins filled w/debris, repair, replace or provide missing collars, repair basin walls, clean clogged pipes, repair or replace broken pipes, replace grates, replace basins, connect isolated basins to drainage system in Nassau & Suffolk county.",Future Development,Summer 2023,Yes,Yes,No,Drainage: Rehab,This project proposes to repair and upgrade existing drainage systems at to be determined locations to maintain their reliability and integrity and help assure the continued safety of the traveling public. Nassau and Suffolk Counties.,,,,,,,,Summer 2021,Fall 2023,Fall 2024,8600000
0T2045,,10 LONG ISLAND,PM DRA CLEAN/REPAIR/REPLACE,"Clean basins filled w/debris, repair, replace or provide missing collars, repair basin walls, clean clogged pipes, repair or replace broken pipes, replace grates, replace basins, connect isolated basins to drainage system in Nassau & Suffolk county.",Future Development,Summer 2024,Yes,Yes,No,Drainage: Rehab,This project proposes to repair and upgrade existing drainage systems at to be determined locations to maintain their reliability and integrity and help assure the continued safety of the traveling public. Nassau and Suffolk Counties.,,,,,,,,Summer 2022,Fall 2024,Spring 2025,8400000
0T2048,,10 LONG ISLAND,PRIORITY RESURFACE TREATMENTS,"CONCRETE & ASPHALT PAVEMENT REPAIRS, SINGLE COURSE OVERLAY (LOCATIONS TO-BE-DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.",Future Development,Spring 2029,Yes,Yes,No,Pavement: Single Course Overlay,"This project proposes to resurface pavement on state roadways in Nassau and Suffolk Counties, locations to be determined. The top layer of worn, deteriorated pavement will be removed and replaced with new asphalt and fresh pavement markings. Drainage clea",,,,,,,,Winter 2027/2028,Summer 2029,Spring 2030,8000000
0T2060,,10 LONG ISLAND,REGIONAL WHERE & WHEN CONTRACT,RESPOND TO EMERGENCIES AND REPAIRS ON AN AS NEEDED BASIS WHERE AN IMMEDIATE RESPONSE IS REQUIRED TO ENSURE THE SAFETY OF THE PUBLIC (LOCATIONS TO BE DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Future Development,Summer 2024,No,Yes,No,Emergency Response Highway,This project proposes to provide for the emergency repair of roads located throughout Nassau and Suffolk Counties on an as needed basis where an immediate response is needed to ensure the safety of the public.,,,,,,,,Spring 2023,Fall 2024,Summer 2025,7500000
0T2061,,10 LONG ISLAND,REGIONAL WHERE & WHEN CONTRACT,RESPOND TO EMERGENCIES AND REPAIRS ON AN AS NEEDED BASIS WHERE AN IMMEDIATE RESPONSE IS REQUIRED TO ENSURE THE SAFETY OF THE PUBLIC (LOCATIONS TO BE DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Future Development,Summer 2026,No,Yes,No,Emergency Response Highway,This project proposes to provide for the emergency repair of roads located throughout Nassau and Suffolk Counties on an as needed basis where an immediate response is needed to ensure the safety of the public.,,,,,,,,Spring 2025,Fall 2026,Spring 2028,7500000
0T2087,,10 LONG ISLAND,CRACK SEALING CONTRACT,"Rout & seal asphalt pavement cracks NY25 from Mont Sinai Coram Rd to Wading River Manor Rd, NY25B from Queens Line to LIRR E Williston, NY107 from Merrick Rd to Marvin Av. Towns of Brookhaven, Hempstead, N Hempstead, Oyster Bay, Riverhead Nassau &Suf",Future Development,Spring 2023,Yes,Yes,No,Pavement: Crack or Joint Sealing,"This proposed project will apply a preventative maintenance treatment to seal cracks in the pavement along Jericho Turnpike (NY 25) between Mont Sinai Coram Road and Wading River Manor Road, Hillside Avenue (NY 25B) between Queens/Nassau county line and L",,,,,,,,Fall 2021,Spring 2023,Spring 2024,4000000
0T2088,,10 LONG ISLAND,CRACK SEALING CONTRACT,"Rout & seal asphalt pavement cracks on NY110: Henry St-Lowndes Ave, NY454: 13th Ave-NY27, NY25: Wading River Manor Rd-NY25A, NY114: NY27-Stephen Hands Path, NY106: NY25A-North Terminus, Towns of Oyster Bay, Islip,Riverhead & E Hampton, Nass/Suff Coun",Future Development,Spring 2024,Yes,Yes,No,Pavement: Crack or Joint Sealing,"This proposed project will apply a preventative maintenance treatment to seal cracks in the pavement to help keep the highway system in a state of good repair on NY110 (Broad Hollow Road) from Henry Street to Lowndes Avenue, NY 454 (Veteran's Memorial Hig",,,,,,,,Winter 2022/2023,Spring 2024,Fall 2024,3000000
0T2089,,10 LONG ISLAND,CRACK SEALING CONTRACT,"Rout & seal asphalt pavement cracks on the Meadowbrook State Parkway between Ocean Parkway and Merrick Road. Town of Hempstead, Nassau County.",Future Development,Spring 2025,Yes,Yes,No,Pavement: Crack or Joint Sealing,"This proposed project will apply a preventative maintenance treatment to seal cracks in the pavement along various state highways in Nassau and Suffolk Counties including the Meadowbrook State Parkway between Ocean Parkway and Merrick Road, Town of Hempst",,,,,,,,Winter 2023/2024,Spring 2025,Spring 2026,2200000
0T2090,,10 LONG ISLAND,CRACK SEALING CONTRACT,ROUT & SEAL ASPHALT PAVEMENT CRACKS AND JOINT OVERLAY REPAIR (LOCATIONS TO-BE-DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Future Development,Spring 2026,Yes,Yes,No,Pavement: Crack or Joint Sealing,This proposed project will apply a preventative maintenance treatment to seal cracks in the pavement along various state highways in Nassau and Suffolk Counties. This work helps to maintain and extend the life of the pavement surface and keeps the highway,,,,,,,,Fall 2024,Spring 2026,Spring 2027,3500000
0T2091,,10 LONG ISLAND,CRACK SEALING CONTRACT,ROUT & SEAL ASPHALT PAVEMENT CRACKS (LOCATIONS TO-BE-DETERMINED),Future Development,Spring 2027,Yes,Yes,No,Pavement: Crack or Joint Sealing,This proposed project will apply a preventative maintenance treatment to seal cracks in the pavement along various state highways in Nassau and Suffolk Counties. This work helps to maintain and extend the life of the pavement surface and keeps the highway,,,,,,,,Winter 2025/2026,Spring 2027,Spring 2028,3500000
0T2097,,10 LONG ISLAND,CRACK SEALING CONTRACT,ROUT & SEAL ASPHALT PAVEMENT CRACKS (LOCATIONS TO-BE-DETERMINED),Future Development,Spring 2028,Yes,Yes,No,Pavement: Crack or Joint Sealing,This proposed project will apply a preventative maintenance treatment to seal cracks in the pavement along various state highways in Nassau and Suffolk Counties. This work helps to maintain and extend the life of the pavement surface and keeps the highway,,,,,,,,Winter 2026/2027,Spring 2028,Spring 2029,3500000
0T2098,,10 LONG ISLAND,CRACK SEALING CONTRACT,ROUT & SEAL ASPHALT PAVEMENT CRACKS (LOCATIONS TO-BE-DETERMINED),Future Development,Spring 2029,Yes,Yes,No,Pavement: Crack or Joint Sealing,This proposed project will apply a preventative maintenance treatment to seal cracks in the pavement along various state highways in Nassau and Suffolk Counties. This work helps to maintain and extend the life of the pavement surface and keeps the highway,,,,,,,,Winter 2027/2028,Spring 2029,Spring 2030,3500000
0T2099,,10 LONG ISLAND,CRACK SEALING CONTRACT,ROUT & SEAL ASPHALT PAVEMENT CRACKS AND JOINT OVERLAY REPAIR (LOCATIONS TO-BE-DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Future Development,Spring 2030,Yes,Yes,No,Pavement: Crack or Joint Sealing,This proposed project will apply a preventative maintenance treatment to seal cracks in the pavement along various state highways in Nassau and Suffolk Counties. This work helps to maintain and extend the life of the pavement surface and keeps the highway,,,,,,,,Fall 2028,Spring 2030,Spring 2031,3500000
0T2104,,10 LONG ISLAND,DURABLE PAVEMENT MARKING,INSTALLATION OF UPGRADED OR REPLACEMENT OF DAMAGED PAVEMENT MARKINGS & PLOWABLE REFLECTIVE MARKERS ON VARIOUS FEDERAL AID ELIGIBLE STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES,Future Development,Winter 2022/2023,Yes,Yes,No,Pavement Marking,"This project proposes to upgrade pavement markings along state highways in Nassau and Suffolk County. Each roadway is remarked on a three year cycle to ensure adequate markings are in place. In addition, this project is used to modify existing markings to",,,,,,,,Summer 2021,Winter 2022/2023,Winter 2023/2024,8500000
0T2105,,10 LONG ISLAND,CONCRETE PAVEMENT REPAIRS,"Concrete pavement repair including joint sealing and diamond grinding on 909D (Ocean Parkway) EB only, from end of asphalt overlay to beginning of asphalt overlay at Captree State Park toll plaza.  Towns of Babylon and Islip, Suffolk County.",Future Development,Spring 2023,Yes,Yes,No,"Pavement: Concrete Pavement Repair, Heavy","This project proposes to recondition the existing concrete roadway to improve their efficiency to provide a smoother driving surface and help assure the continued safety of the traveling public on 909D (Ocean Parkway) EB only, from end of asphalt overlay",,,,,,,,Winter 2021/2022,Summer 2023,Summer 2024,4900000
0T2137,,10 LONG ISLAND,PARK&RIDE/BKWY/GRAFFITI/TREE TRIMMING,"REMOVAL OR PAINT OVER OF GRAFITTI, REPAIR NOISE WALLS, TREE TRIMMING, MAINTAIN THE 7 PARK & RIDE LOTS ALONG I495, ALL NYS BIKEWAYS, REST AREAS, PUBLIC TELEPHONE AREAS ALONG PARKWAYS & BUS SHELTERS ON NYS RIGHT-OF-WAY NASSAU AND SUFFOLK COUNTIES",Future Development,Summer 2024,No,Yes,No,Other,"This project proposes to remove or paint over of graffiti, repair noise walls, maintain the 7 park and ride lots along I495, bikeways, rest areas, public telephone areas along parkways and bus shelters in Nassau and Suffolk Counties.",,,,,,,,Spring 2023,Fall 2024,Fall 2025,3900000
0T2138,,10 LONG ISLAND,PARK&RIDE/BKWY/GRAFFITI/TREE TRIMMING,"REMOVAL OR PAINT OVER OF GRAFITTI, REPAIR NOISE WALLS, TREE TRIMMING, MAINTAIN THE 7 PARK & RIDE LOTS ALONG I495, ALL NYS BIKEWAYS, REST AREAS, PUBLIC TELEPHONE AREAS ALONG PARKWAYS & BUS SHELTERS ON NYS RIGHT-OF-WAY NASSAU AND SUFFOLK COUNTIES",Future Development,Summer 2026,No,Yes,No,Other,"This project proposes to remove or paint over of graffiti, repair noise walls, maintain the 7 park and ride lots along I495, bikeways, rest areas, public telephone areas along parkways and bus shelters in Nassau and Suffolk Counties.",,,,,,,,Spring 2025,Fall 2026,Spring 2028,3900000
0T2140,,10 LONG ISLAND,SIGN REQUIREMENTS,SIGN REPAIRS & INSTALLATIONS ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES,Future Development,Summer 2023,Yes,Yes,No,Traffic Signs,"This project proposes to replace and repair signs that are worn or damaged along state highways in Nassau and Suffolk County. Furthermore, this project can install new signs to address safety and operational problems that are identified",,,,,,,,Winter 2021/2022,Fall 2023,Summer 2024,3700000
0T2141,,10 LONG ISLAND,SIGN REQUIREMENTS,SIGN REPAIRS & INSTALLATIONS ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES,Future Development,Summer 2025,Yes,Yes,No,Traffic Signs,"This project proposes to replace and repair signs that are worn or damaged along state highways in Nassau and Suffolk County. Furthermore, this project can install new signs to address safety and operational problems that are identified",,,,,,,,Spring 2024,Fall 2025,Spring 2027,3700000
0T2155,,10 LONG ISLAND,NY347 REC OLD TOWN RD TO NY25A,Reconstruct NY347 from Old Town Rd to NY25A,Future Development,Spring 2025,Yes,Yes,No,"Pavement: Reconstruction, Concrete","This project proposes to reconstruct 2.48 miles of NY 347 from Old Town Road to NY Route 25A to improve safety and travel for vehicles, pedestrians, bicyclists and transit users. Work will include but not be limited to adding a thru lane in each direction",,,,,,,,Summer 2021,Spring 2025,Spring 2028,49300000
0T2173,,10 LONG ISLAND,SAFETY ENHANCEMENTS,Safety enhancements on various state highways in Nassau and Suffolk Counties (locations and scope to be determined),Future Development,Summer 2027,Yes,Yes,No,Pavement: Three Course Overlay,"This project proposes includes, but is not limited to, minor pavement repairs and widening, new pavement striping, curb, sidewalk and handicap ramp installation, drainage improvements and repair of roadside elements including guiderail and signs. Nassau a",,,,,,,,Summer 2025,Summer 2027,Summer 2028,6000000
0T2174,,10 LONG ISLAND,SAFETY ENHANCEMENTS,Safety enhancements on various state highways in Nassau and Suffolk Counties (locations and scope to be determined),Future Development,Summer 2028,Yes,Yes,No,Pavement: Three Course Overlay,"This project proposes includes, but is not limited to, minor pavement repairs and widening, new pavement striping, curb, sidewalk and handicap ramp installation, drainage improvements and repair of roadside elements including guiderail and signs. Nassau a",,,,,,,,Summer 2026,Summer 2028,Summer 2029,6000000
0T2175,,10 LONG ISLAND,SAFETY ENHANCEMENTS,Safety enhancements on various state highways in Nassau and Suffolk Counties (locations and scope to be determined),Future Development,Summer 2029,Yes,Yes,No,Pavement: Three Course Overlay,"This project proposes includes, but is not limited to, minor pavement repairs and widening, new pavement striping, curb, sidewalk and handicap ramp installation, drainage improvements and repair of roadside elements including guiderail and signs. Nassau a",,,,,,,,Summer 2027,Summer 2029,Summer 2030,6000000
0T2176,,10 LONG ISLAND,SAFETY ENHANCEMENTS,Safety enhancements on various state highways in Nassau and Suffolk Counties (locations and scope to be determined),Future Development,Summer 2030,Yes,Yes,No,Pavement: Three Course Overlay,"This project proposes includes, but is not limited to, minor pavement repairs and widening, new pavement striping, curb, sidewalk and handicap ramp installation, drainage improvements and repair of roadside elements including guiderail and signs. Nassau a",,,,,,,,Summer 2028,Summer 2030,Summer 2031,6000000
0T2199,,10 LONG ISLAND,PRIORITY SURFACE TREATMENTS,"CONCRETE & ASPHALT PAVEMENT REPAIRS, SINGLE COURSE OVERLAY (LOCATIONS TO-BE-DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.",Future Development,Spring 2030,Yes,Yes,No,Pavement: Single Course Overlay,"This project proposes to resurface pavement on state roadways in Nassau and Suffolk Counties, locations to be determined. The top layer of worn, deteriorated pavement will be removed and replaced with new asphalt and fresh pavement markings. Drainage clea",,,,,,,,Winter 2028/2029,Summer 2030,Spring 2031,8000000
0T2202,,10 LONG ISLAND,I495 Ex 67 to Ex 69 CONCRETE PAVEMENT REHABILITATION,"Concrete pavement repair on I495 between Exit 67 (Yaphank Ave) & Exit 69 (Wading River Rd), Town of Brookhaven, Suffolk County",Future Development,Fall 2023,Yes,Yes,No,"Pavement: Concrete Pavement Repair, Heavy",This project proposes to recondition the existing concrete roadway to improve their efficiency to provide a smoother driving surface and help assure the continued safety of the traveling public. Project includes the Long Island Expressway (I495) between Y,,,,,,,,Spring 2022,Winter 2023/2024,Fall 2024,10000000
0T2205,,10 LONG ISLAND,GUIDESIGN PANEL REPLACEMENT,"REPLACE GUIDESIGN PANELS THAT ARE WORN, DAMAGED OR DEFICIENT ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU AND SUFFOLK COUNTIES",Future Development,Summer 2026,Yes,Yes,No,Traffic Signs,"Project proposes to replace guide sign panels that are worn, damaged or deficient on various state highways and parkways in Nassau and Suffolk Counties.",,,,,,,,Summer 2024,Fall 2026,Summer 2027,3300000
